MAKE THE RUNNING, 2
MAYO MYSTIQUE, 0
MOYNIHAN&acute;S LADY, 0
NOW WERE BROKE, 0
PRESENTING RUBY, 0
RILTREE, 0
MANDY CARROLL, 0
TALBOT&acute;S INCH, 0
BARBABELLA, 0
LAKE RETURN, 0
AKADYR, 0
BAYNES CROSS, 0
WESTERN BOUND, 0
SATWA KING, 0
VALIQUEST, 0
COMME JE TROUVE, 0
CLOGHER CAILIN, 0
SPRING WINE, 0
CALL MY BLUFF, 0
EVER DREAMING, 0
FITZGUTENTYTE, 0
HARRY THE DANCER, 0
INTER MUTANDA, 0
KALMEZ, 0
LADY LUSELLE, 0
SEAN AIRGEAD, 0
BALLINTEMPLE STAR, 0
LARKIN, 0
BAIZICALLY, 1
BRONTE BAY, 0
UNCLE JUNIOR, 0
CHANGING COURSE, 0
KNOCK ON THE HEAD, 0
POLITEO, 0
ROBERTSTOWN ROVER, 0
HOLD THE PIN, 1
BLAZE TRAILER, 0
WHATS UP GORDEN, 0
BALLYVOILE, 0
KIND OSCAR, 0
COLLS CORNER, 0
BALLY WALL, 0
OSCAR GLORY, 0
ANOTHER FLUTTER, 0
WILLIES GIRL, 0
QUARRYVALE, 0
ARTISTE BAY, 0
GUTS FOR GARTERS, 0
SADDLER&acute;S NATIVE, 0
D&acute;S TRIX, 0
ANNUAL REPORT, 0
ARGUIDOS, 0
GREEN TO GOLD, 0
HIGH TALK, 0
ON YOUR WAY, 0
PADDY O DEE, 0
PRESENTING THYNE, 0
RI NA TIRE, 0
RIVAZZA, 0
SPILL THE BEANS, 0
THEPARTYSOVER, 0
ARE YOU THE ONE, 0
WEE SONNY, 0
DESTINED FOR FAME, 0
BEIR BUA, 0
BLUE VIC, 0
DANCE THE DEVIL, 0
ENTER THE DRAGON, 0
HENRY THE FIRST, 0
LISCARNEY HOUSE, 0
MISTER MUSIC MAN, 0
MOOREABBEY, 0
ONE DIRECTION, 0
ROCKY FLIGHT, 0
SILVER CANYON, 0
THE BRUGH BOY, 0
WESLIFE, 0
ZADARSKA, 0
HES OUR LAD, 0
SAN REMO BELLO, 0
SPANISH TREASURE, 0
ABSOLUTION, 0
CUSTER OF THE WEST, 0
GREAT KICKER, 0
SIR COOL, 0
TENITEMSPLUSTOAST, 0
FRAN&acute;S FOLLY, 0
LITTLE FEE, 0
RATIFY, 0
LOCAL PRESENT, 0
VICTORY PARADE, 0
JUSTABOUT, 0
EL DIEGO, 0
GENTLEMAN JIMMY, 0
TOM BACH, 0
SHARDAKHAN, 0
MATAKO, 0
I CAN RUN CAN YOU, 0
UNLEASHED, 0
POSH EMILY, 0
PARTY PALACE, 0
BLAKENEYS PET, 0
FLYING AWARD, 1
SAIL AND RETURN, 0
LOST TWO STARS, 0
THE CLYDA ROVER, 0
FESTIVAL DREAMS, 0
MAN OF LEISURE, 0
RUBY VALENTINE, 0
KING KASYAPA, 0
KING EDMUND, 0
MOON OVER MIAMI, 0
RUSSIAN FLAG, 0
RIVALISTE, 0
MARODIMA, 0
BATHWICK QUEST, 0
EBONY DIAMOND, 0
FINAL FLYER, 0
HATCHET MAN, 0
OSCAR CHARLIE, 0
PENCHESCO, 0
PETIT ECUYER, 0
PRINCE OF KING, 0
SPONGE, 0
SURF AND TURF, 0
CAUNAY, 0
ENCOMPASSING, 0
CRUISE IN LUXURY, 0
SOFTLY KILLING ME, 0
SUN QUEST, 0
MAYBERRY, 0
AL AMAAN, 0
NO TO TRIDENT, 0
MAGIC PROSPECT, 0
GOOSE GREEN, 0
FISHOUTOFWATER, 0
MAURITINO, 0
GROSS PROPHET, 0
AINE&acute;S DELIGHT, 0
GALANTOS, 0
HOLDEN CAULFIELD, 0
BARAAN, 2
PRAIRIE STAR, 1
POUR MOI, 1
STAROS, 2
MAXIOS, 3
PLANTEUR, 1
SILVER POND, 3
CELTIC CELEB, 1
LEY HUNTER, 1
AGENT SECRET, 2
WIENER WALZER, 1
AKARLINA, 1
OFFLEE WILD BOYS, 0
INDIAN WINTER, 0
MR. COMMONS, 1
SILVER MEDALLION, 2
COMMA TO THE TOP, 2
MIDNIGHT INTERLUDE, 1
QUAIL HILL, 0
PREMIER PEGASUS, 2
ANTHONY&acute;S CROSS, 0
BENCH POINTS, 0
JAYCITO, 2
